"矫痢","青沥备开(矫焙备)喊","己喊",拌,0技,1技,2技,3技,4技,5技,6技,7技,8技,9技,10技,11技,12技,13技,14技,15技,16技,17技,18技,19技,20技,21技,22技,23技,24技,25技,26技,27技,28技,29技,30技,31技,32技,33技,34技,35技,36技,37技,38技,39技,40技,41技,42技,43技,44技,45技,46技,47技,48技,49技,50技,51技,52技,53技,54技,55技,56技,57技,58技,59技,60技,61技,62技,63技,64技,65技,66技,67技,68技,69技,70技,71技,72技,73技,74技,75技,76技,77技,78技,79技,80技,81技,82技,83技,84技,85技,86技,87技,88技,89技,90技,91技,92技,93技,94技,95技,96技,97技,98技,99技,100技 捞惑
"2003","篮乞备","拌",472491.5,4466,4750,5323,5592,5472.5,5578,5864.5,6034,6143,6217,6283,6351.5,6153.5,5615,5534.5,5594.5,5600.5,5785,6017,6544,7384.5,8018.5,8305.5,8461,8068.5,7995.5,8620,8806.5,9357,10066.5,10368,10427.5,10168.5,9644.5,9399,8810,8046.5,7872,7909,7674.5,7760.5,8316,8699.5,8589,8082,7784.5,7543.5,7469,7124.5,6247,6063,5410,4884,5294.5,5366,5593,5211.5,4423,4270,4398,4975,4963,4172,3901.5,3703.5,3366.5,3153,2860.5,2539,2209.5,1982.5,1753,1539.5,1523,1414.5,1241,1059,916,843,792,765,656,568,473.5,384.5,348,315.5,268,224,187,153,112.5,83.5,66,45.5,27.5,15.5,9.5,5.5,8,18.5
"2003","辑措巩备","拌",359183.5,3806,3715,4094.5,4190.5,4140.5,4181.5,4274.5,4410,4446.5,4446,4386.5,4373.5,4108.5,3830.5,3798,3783,3884,4091.5,4222.5,4702.5,5509.5,6144.5,6394.5,6730.5,6506.5,6577.5,7113,7207,7639.5,8083.5,8216,8307,8165,7659.5,7254,6847,6189.5,5949,5990.5,5860.5,5861.5,6009.5,6217,6154.5,5906.5,5686,5372.5,5288.5,4982,4388,4308.5,3877.5,3531,3804,3835,4005.5,3875.5,3359.5,3267.5,3383.5,3903.5,3971.5,3408,3386,3224,2833.5,2657,2537.5,2249,1866,1686.5,1483,1339.5,1258.5,1157,1051.5,888,756.5,708.5,707,645.5,552.5,455.5,391.5,322,278,253.5,201.5,163,123.5,93.5,82,67,41,35,19.5,15,10,5.5,4.5,9
"2003","付器备","拌",377434,4275,4010,4319.5,4406.5,4229,4369,4426.5,4406.5,4463.5,4394,4371,4323,3909.5,3755.5,3719.5,3661,3748,3921,4131.5,4766.5,5615.5,6266.5,6780,7277,7346.5,7615,8180,8615,9118.5,9586,9624,9642.5,9320,8655,8111,7453.5,6642,6360.5,6342,5969.5,5984,6186.5,6325,6173,5804,5659,5403,5377,5156.5,4461,4489.5,4062.5,3618.5,3973.5,4079.5,4194.5,3945.5,3455,3406.5,3492.5,3877.5,3918,3368.5,3161,2971,2742.5,2603.5,2394.5,2165,1877.5,1717.5,1509,1337,1288.5,1189,1059.5,890,766,687,655,670,571.5,456.5,391,327,301.5,270,193.5,163,139,105,76,61,49.5,39,25.5,17,8,4.5,3,12.5
"2003","剧玫备","拌",485740,4077.5,4523.5,5065.5,5495,5677.5,5953,6488,6816,7212,7469.5,7713,8014.5,7985,7545,7664.5,7742.5,7403.5,7523.5,7533.5,7858,8480.5,8797,8827,8675,7901,7464.5,7579.5,7498,7788,8053.5,8194.5,8546.5,8689.5,8626.5,8770.5,8625.5,8214.5,8439.5,9071,9029.5,9469,10321,10781,10698.5,9987.5,9657.5,9189,8998.5,8375.5,7112,6912.5,5964.5,5159.5,5285.5,5087.5,4885,4343.5,3605,3337.5,3286.5,3510,3356,2741.5,2627.5,2494.5,2237.5,2138.5,2030,1892.5,1678,1545,1455.5,1354.5,1338.5,1232.5,1132,997.5,848.5,760,718.5,716.5,641,524,416.5,356.5,321.5,284.5,217,165.5,133.5,104.5,73,58,52,31.5,23,12.5,8,8,4,12
"2003","碍辑备","拌",532662,5252.5,5561,6124,6234.5,5990.5,6221.5,6446.5,6655,6791,7023.5,7260,7479,7250.5,6928.5,7034.5,7155.5,7217,7604.5,7746.5,8281.5,9413.5,9947.5,10156,10294.5,9725.5,9491.5,9884,9843,10411.5,11020,11127.5,11215,10928.5,10382,9983.5,9403.5,8769,8757.5,8966.5,8829.5,9171,10107.5,10597,10568,10051.5,9800.5,9491,9249,8730.5,7496,7326,6426.5,5579,5903.5,5829,5839.5,5247.5,4281,3935.5,3923.5,4195.5,4041,3426,3183,2971,2688.5,2484,2438,2282.5,2005,1842,1672,1554,1540.5,1438.5,1301.5,1152.5,1037,948,937,875.5,766,648,536.5,434,369.5,342,290,231,180,133,101.5,71.5,51.5,45.5,31.5,19.5,14,8.5,5,10.5
"2003","备肺备","拌",413104,4318,4647,5155.5,5192.5,4993.5,5081.5,5208,5288.5,5337,5304,5322.5,5241,4928,4644.5,4587.5,4502.5,4683.5,4990,5304,5905.5,6912.5,7616,7948.5,8147.5,7769.5,7629,8044.5,8148,8610,9085,9178.5,9255.5,9065,8617.5,8292,7767.5,7145,7083,7071.5,6626.5,6746.5,7264,7620,7515,6966.5,6832,6655.5,6690,6526,5772.5,5754.5,5185,4664.5,4980.5,4894.5,4906.5,4446.5,3607.5,3447,3515.5,3922,3739.5,2976.5,2739.5,2624,2371,2157,2008.5,1806,1556,1364.5,1199.5,1079.5,1058.5,1018.5,867,737.5,653.5,602,597.5,592,504,409,352,301.5,266,217,172.5,140,109,81,76,47.5,35.5,30,17,14,7,4.5,4.5,9
"2003","陛玫备","拌",261318.5,2404.5,2670.5,2975.5,3103.5,3135.5,3293.5,3397,3453.5,3558.5,3630.5,3637.5,3598,3369.5,3138,3041.5,2995,3128,3277,3471.5,3837,4312,4646,4790,4938.5,4764,4640.5,4764.5,4952,5281,5475,5512,5510,5564.5,5411.5,5349,5221.5,4897,4853,4843.5,4649,4650,4957,5112,5080.5,4696,4369,4165.5,4102,3959,3500.5,3386,3108.5,2772,2865,2808,2875,2623.5,2226,2222,2194.5,2406.5,2366,1907,1754.5,1662.5,1472,1333.5,1240.5,1109.5,965.5,897,783,704,675,608,529,467.5,415.5,374,378.5,364.5,317.5,257,220.5,189.5,157.5,139.5,103.5,80,66.5,60,43.5,34,24,12.5,9.5,7.5,5,5,2.5,8
"2003","康殿器备","拌",406040,4239,4469,4873.5,4841.5,4770.5,4976.5,4972.5,4986,5110.5,5043,5051,5023.5,4629.5,4323.5,4329.5,4204.5,4443,4601,4915.5,5511,6207,6810.5,7252,7647,7368.5,7433.5,7966.5,8433.5,8934,9342,9590.5,9763.5,9429.5,8911,8574.5,7973.5,7144.5,6911.5,7024.5,6669,6632,7046.5,7286,7224,6771.5,6663.5,6397.5,6257.5,6054.5,5241.5,5251,4851.5,4379,4619,4560.5,4622.5,4277.5,3638,3483.5,3533.5,3924.5,3854.5,3216.5,3047,2910.5,2613.5,2463.5,2346,2101,1812,1590,1393.5,1247,1189,1055.5,952,869,769.5,732,699,643,548.5,468.5,411.5,339,273,230.5,184,152,134.5,99.5,66,61,57,34.5,23.5,14.5,7.5,4.5,2.5,8.5
"2003","悼累备","拌",406703.5,4006,4245.5,4521.5,4517,4515.5,4609,4633,4732.5,4852.5,4752,4662.5,4674,4378.5,4128,4192,4233.5,4283.5,4538,4721,5409.5,6352.5,7102,7677,8320,8393.5,8480.5,9170,9474.5,9958.5,10204.5,10065,9942,9490.5,8894.5,8155,7433.5,6665,6258.5,6387,6111,6076,6467,6753.5,6654,6349,6189,5954.5,5947.5,5828,5109.5,5160.5,4760.5,4338.5,4690.5,4739.5,4838.5,4534,3963.5,3769,3770,4264.5,4303.5,3541,3268.5,3095,2822.5,2599.5,2429,2233.5,1937.5,1684,1486,1318.5,1212.5,1151.5,1071,911,801.5,709.5,692.5,672,561.5,486,450.5,362,308.5,271,229.5,193.5,153.5,111.5,88,76,57,31.5,30,20,11.5,10,4,11
"2003","包厩备","拌",522331.5,5134.5,5239,5718.5,5775,5679,5673.5,5698,5719.5,5784.5,5688.5,5655.5,5683.5,5275.5,4943.5,4892,4892.5,5170.5,5556,5901.5,6912.5,8487.5,9723.5,10655,11887.5,12021,12312.5,13586,14074,14705,14823.5,14228,13591.5,12822.5,11594.5,10610,9676,8604.5,8248,8070.5,7568,7631.5,8015.5,8239,8246.5,7712.5,7402.5,7269,7400.5,7262,6411,6510.5,6134.5,5588.5,5990.5,6087,6210.5,5765.5,4924,4765,4806,5368,5306.5,4264,3904,3749,3294.5,2848,2588.5,2319.5,2006.5,1805,1603.5,1405,1311,1241.5,1070,915,809.5,709.5,745,758.5,647,507.5,424,375.5,321,296,245,181.5,158.5,124.5,100.5,83.5,54,37.5,32.5,27.5,15,6,3.5,15
"2003","辑檬备","拌",392006.5,3198.5,3298,3547,3646.5,3691.5,3874,4051.5,4173,4365,4510.5,4736,5074,5295.5,5263.5,5465,5688.5,5467.5,5505,5507,6043.5,6724,7350.5,7729.5,8186,7939,7901,8310.5,8320,8593,8730,8545.5,8350,8059.5,7616,7005.5,6478,5824,5645,6113,6233,6218,6510.5,6956,7058,7046,7150,6942,6908,6624.5,6039.5,6034,5255.5,4636,4963.5,5117.5,5079,4619,3921,3582.5,3442,3477.5,3276.5,2768,2420,2168.5,1957.5,1824,1671,1537,1340.5,1230.5,1089.5,1018.5,1035,985,880.5,809,761.5,712.5,691,675.5,566.5,471,411,353.5,319.5,282.5,234.5,202,163.5,140,105.5,79.5,64,41,24,17,15,10.5,8,12.5
"2003","碍巢备","拌",532057.5,4021,4021.5,4479,4681.5,4719.5,4838.5,5168.5,5477.5,5746.5,6137,6576,7101.5,7658,7611.5,7959,8425,8229.5,8365.5,8399,8770.5,9510,10185,10715,11308.5,11081.5,10845,11336.5,11402,11555,11423,11109.5,10960,10556,9796,9071.5,8328.5,7518.5,7531.5,8066.5,8145.5,8521,9223.5,10029,10376.5,10148,10324.5,10161.5,10170,9584.5,8416.5,8419,7228,6186.5,6674.5,6659.5,6430,5910,5033,4487.5,4185.5,4202.5,3956.5,3303.5,2960,2639.5,2411,2197.5,1974,1838.5,1656.5,1535,1419,1304,1310.5,1285,1212,1096,1000,947,970.5,946,795,683.5,586.5,502.5,456,396,332,264.5,212.5,165.5,145.5,112.5,79,55.5,30.5,18.5,18,15.5,5,19.5
"2003","价颇备","拌",633275.5,5787.5,6195,6875.5,7095.5,6976,7309.5,7711.5,8010.5,8364,8533,8898.5,9138.5,9026,8782.5,8843,8949.5,9020,9331,9560,10163.5,11216,11889,12148,12458,11641.5,11374.5,11882.5,11955.5,12584.5,13001,13053,13204,12831.5,12245,11796,11129.5,10368,10349,10803,10745.5,10924.5,11800,12442.5,12496,11929,11714.5,11338.5,11405,10844,9446.5,9265,7968,6784,7099.5,6990,6948.5,6244.5,5137.5,4686,4481.5,4724,4570.5,3760.5,3404.5,3155.5,2883.5,2731,2583,2313.5,2061,1947,1777.5,1634.5,1565.5,1480.5,1364,1206,1106.5,1006,1004,981,825.5,677.5,598.5,498.5,444.5,392,321.5,251,202.5,177,128.5,92,68,43,33.5,20,16.5,13.5,8,14
"2003","碍悼备","拌",479350,4234,4524,5050.5,5285.5,5238,5435.5,5757,6027.5,6337.5,6507.5,6843.5,7141,6938.5,6795,7011.5,7071,7078,7355.5,7499.5,7970,8777,9342.5,9424.5,9398,8720,8221,8285,8234,8622.5,8884.5,8844,8970.5,8871,8651.5,8435,8195.5,7743.5,7797,8209,8209.5,8633.5,9472,10089,10234,9698.5,9525.5,9082,8960.5,8584.5,7357,7191,6314.5,5286.5,5442,5386.5,5241,4697,3865,3521,3374.5,3537,3419.5,2767,2499.5,2364,2142.5,2026.5,1932,1785,1579,1462,1311,1238,1249.5,1191.5,1102.5,973,870,802,805,770.5,662,538,437,373.5,329.5,298.5,221,161.5,133,115.5,105,77.5,56,36,26.5,19.5,15.5,10.5,3,12.5
